河北综合,#genre#

河北卫视,http://121.19.134.215:808/tsfile/live/0019_1.m3u8
河北经济,http://121.19.134.215:808/tsfile/live/1000_1.m3u8
河北都市,http://121.19.134.215:808/tsfile/live/1001_1.m3u8
河北影视,http://121.19.134.215:808/tsfile/live/1002_1.m3u8
河北少儿科教,http://121.19.134.215:808/tsfile/live/1003_1.m3u8
河北公共,http://121.19.134.215:808/tsfile/live/1004_1.m3u8
河北农民,http://121.19.134.215:808/tsfile/live/1005_1.m3u8
河北杂技,http://121.19.134.215:808/tsfile/live/1006_1.m3u8

河北卫视,http://121.19.134.245:808/tsfile/live/0019_1.m3u8
河北经济,http://121.19.134.245:808/tsfile/live/1000_1.m3u8
河北都市,http://121.19.134.245:808/tsfile/live/1001_1.m3u8
河北影视,http://121.19.134.245:808/tsfile/live/1002_1.m3u8
河北少儿科教,http://121.19.134.245:808/tsfile/live/1003_1.m3u8
河北公共,http://121.19.134.245:808/tsfile/live/1004_1.m3u8
河北农民,http://121.19.134.245:808/tsfile/live/1005_1.m3u8
河北杂技,http://121.19.134.245:808/tsfile/live/1006_1.m3u8

河北卫视,http://tv.pull.hebtv.com/jishi/weishipindao.m3u8?t=2510710360&k=3944fff7fdd8f8caf6adce2c9a0ef126
河北卫视,http://[2409:8087:2001:20:2800:0:df6e:eb05]/wh7f454c46tw1698524218_988816054/ott.mobaibox.com/PLTV/3/224/3221228106/index.m3u8?icpid=3&RTS=1669700299&from=40&popid=40&hms_devid=2041&prioritypopid=40&vqe=3
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
河北影视,https://tv.pull.hebtv.com/jishi/yingshijupindao.m3u8?t=2510710360&k=22da13f91d94e04e4935c5ed39dbdb62
河北经济,https://tv.pull.hebtv.com/jishi/jingjishenghuo.m3u8?t=2510710360&k=5ae52d7ff5118e85c19a12237a3518cb
河北都市,https://tv.pull.hebtv.com/jishi/dushipindao.m3u8?t=2510710360&k=0a371e84fa6980927f5b617687e1ad11
河北公共,https://tv.pull.hebtv.com/jishi/gonggongpindao.m3u8?t=2510710360&k=753a034a499730b224c99667ec91eb4e
河北农民,https://tv.pull.hebtv.com/jishi/nongminpindao.m3u8?t=2510710360&k=1c19f1e16256d45e9fdcb9b6725647cc
河北少儿科教,https://tv.pull.hebtv.com/jishi/shaoerkejiao.m3u8?t=2510710360&k=35e8479f6ac81ee25729454e88afa17c
河北卫视,http://222.223.119.21:8888/newlive/live/hls/48/live.m3u8
河北经济,http://222.223.119.21:8888/newlive/live/hls/49/live.m3u8
河北都市,http://222.223.119.21:8888/newlive/live/hls/50/live.m3u8
河北影视,http://222.223.119.21:8888/newlive/live/hls/51/live.m3u8
河北少儿,http://222.223.119.21:8888/newlive/live/hls/52/live.m3u8
河北公共,http://222.223.119.21:8888/newlive/live/hls/53/live.m3u8
河北卫视,http://111.225.92.130:8800/hls/17/index.m3u8
河北经济,http://111.225.92.130:8800/hls/18/index.m3u8
河北都市,http://111.225.92.130:8800/hls/19/index.m3u8
河北影视,http://111.225.92.130:8800/hls/20/index.m3u8
河北少儿科教,http://111.225.92.130:8800/hls/21/index.m3u8
河北公共,http://111.225.92.130:8800/hls/22/index.m3u8
河北农民,http://111.225.92.130:8800/hls/23/index.m3u8
河北卫视,http://111.225.93.57:8800/hls/17/index.m3u8
河北经济,http://111.225.93.57:8800/hls/18/index.m3u8
河北都市,http://111.225.93.57:8800/hls/19/index.m3u8
河北影视,http://111.225.93.57:8800/hls/20/index.m3u8
河北少儿科教,http://111.225.93.57:8800/hls/21/index.m3u8
河北公共,http://111.225.93.57:8800/hls/22/index.m3u8
河北农民,http://111.225.93.57:8800/hls/23/index.m3u8

河北|邢台综合,http://222.223.119.21:8888/newlive/live/hls/54/live.m3u8
河北|邢台城市生活,http://222.223.119.21:8888/newlive/live/hls/55/live.m3u8
河北|卡酷少儿,http://222.223.119.21:8888/newlive/live/hls/56/live.m3u8
河北|金鹰卡通,http://222.223.119.21:8888/newlive/live/hls/57/live.m3u8
河北|石家庄新闻,http://pluslive1.sjzntv.cn/xmzh/playlist.m3u8
河北|石家庄娱乐,http://pluslive1.sjzntv.cn/yule/playlist.m3u8
河北|石家庄生活,http://pluslive1.sjzntv.cn/shenghuo/playlist.m3u8
河北|石家庄都市,http://pluslive1.sjzntv.cn/dushi/playlist.m3u8
河北|保定新闻,http://jwcdnqx.hebyun.com.cn/live/jybd/1500k/tzwj_video.m3u8
河北|保定公共,http://jwcdnqx.hebyun.com.cn/live/bdxw1/1500k/tzwj_video.m3u8
河北|保定生活,http://jwcdnqx.hebyun.com.cn/live/bddst/1500k/tzwj_video.m3u8
河北|安平新闻综合,http://shou.city1000.cn/live/apxw.m3u8
河北|承德公共生活,https://jwliveqxzb.hebyun.com.cn/cdsggshtv/cdsggshtv.m3u8
河北|承德新闻综合,https://jwliveqxzb.hebyun.com.cn/cdsxwzhtv/cdsxwzhtv.m3u8
河北|大厂一套,http://60.10.185.184:1935/live/dc1.stream/playlist.m3u8
河北|定州生活频道,https://jwliveqxzb.hebyun.com.cn/shpd/shpd.m3u8
河北|定州新闻综合,https://jwliveqxzb.hebyun.com.cn/xxzhpd/xxzhpd.m3u8
河北|丰宁综合频道,https://jwliveqxzb.hebyun.com.cn/fengningzonghe/fengningzonghe.m3u8
河北|邯郸新闻,https://jwliveqxzb.hebyun.com.cn/hdxwzh/hdxwzh.m3u8
河北|邯郸公共,https://jwliveqxzb.hebyun.com.cn/hdgg/hdgg.m3u8
河北|邯郸科教,https://jwliveqxzb.hebyun.com.cn/hdkj/hdkj.m3u8
河北|衡山,http://live.hznet.tv:1935/live/live1/500K/tzwj_video.m3u8
河北|衡水新闻综合,http://111.225.205.64:8081/964D4p2/800/live.m3u8
河北|景县电视一套,http://hbjx.chinashadt.com:1935/live/stream:jx1.stream/playlist.m3u8
河北|涞水新闻频道,https://jwliveqxzb.hebyun.com.cn/lsdst/lsdst.m3u8
